MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190806,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,2
20190716,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,2
20190709,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,2
20190702,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,2
20190625,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,2
20190618,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,2
20190611,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,2
20190604,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,2
20190528,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,2
20190521,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,2
20190514,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,2
20190507,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,2
20190430,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,2
20190423,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,2
20190416,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,2
20190409,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,2
20190402,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,2
20190326,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,2
20190319,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,2
20190312,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,2
20190305,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,2
20190226,02013,Aleutians East Borough,AK,"3,141.00",0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,2
20190806,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,2
20190716,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,2
20190709,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,2
20190702,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,2
20190625,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,2
20190618,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,2
20190611,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,2
20190604,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,2
20190528,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,2
20190521,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,2
20190514,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,2
20190507,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,2
20190430,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,2
20190423,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,2
20190416,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,2
20190409,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,2
20190402,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,2
20190326,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,2
20190319,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,2
20190312,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,2
20190305,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,2
20190226,02016,Aleutians West Census Area,AK,"5,561.00",0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,2
20190806,02020,Anchorage Municipality,AK,0.00,0.00,"291,825.99",0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,02020,Anchorage Municipality,AK,0.00,0.00,"291,825.99",0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,02020,Anchorage Municipality,AK,0.00,0.00,"291,825.99",0.00,0.00,0.00,2019-07-23,2019-07-29,2
20190716,02020,Anchorage Municipality,AK,0.00,0.00,"291,825.99",0.00,0.00,0.00,2019-07-16,2019-07-22,2
20190709,02020,Anchorage Municipality,AK,0.00,"291,825.99",0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,2
20190702,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,2
20190625,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,2
20190618,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,2
20190611,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,2
20190604,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,2
20190528,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,2
20190521,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,2
20190514,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,2
20190507,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,2
20190430,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,2
20190423,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,2
20190416,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,2
20190409,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,2
20190402,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,2
20190326,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,2
20190319,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,2
20190312,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,2
20190305,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-03-05,2019-03-11,2
20190226,02020,Anchorage Municipality,AK,"291,825.99",0.00,0.00,0.00,0.00,0.00,2019-02-26,2019-03-04,2
20190806,02050,Bethel Census Area,AK,"7,132.98","9,898.02",0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,02050,Bethel Census Area,AK,"5,335.56","11,695.44",0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,02050,Bethel Census Area,AK,"5,335.56","11,695.44",0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,2
